category,count
digital_ebook_purchase,5100061
grocery,2393304
health_personal_care,5312615
music,4740425
office_products,2640204
pc,6906695
pet_products,2639840
sports,4832885
tools,1740012
toys,4859556
video_dvd,5048892
video,380531
wireless,8991371
multilingual,6900546
shoes,4358785
digital_software,101832
books,3105251
apparel,5881740
automotive,3510834
baby,1749122
beauty,5094202
camera,1800802
digital_music_purchase,1681414
digital_video_download,3998206
electronics,3090949
furniture,791662
outdoors,2299783
video_games,1780209
mobile_apps,5008021
mobile_electronics,104846
musical_instruments,903991
digital_video_games,144718
watches,960185
software,341234
major_appliances,96832
gift_card,148309
personal_care_appliances,85923
